person_id,incident_id,role
arrest_18930371,case_HX366462,suspect
arrest_18930380,case_HX366462,suspect
arrest_18911951,case_HX298330,suspect
arrest_18911939,case_HX298330,suspect
arrest_18932616,case_HX341176,suspect
arrest_18932624,case_HX341176,suspect
arrest_18930393,case_HX336524,suspect
arrest_18930405,case_HX336524,suspect
arrest_18922628,case_HX320158,suspect
arrest_18934299,case_HX320158,suspect
arrest_18936514,case_HX349186,suspect
arrest_18936516,case_HX349186,suspect
arrest_18936517,case_HX349186,suspect
arrest_18932970,case_HX341798,suspect
arrest_18932968,case_HX341798,suspect
arrest_18934582,case_HX345234,suspect
arrest_18934612,case_HX345234,suspect
arrest_18934605,case_HX345234,suspect
arrest_18934649,case_HX345234,suspect
arrest_18933082,case_HX342279,suspect
arrest_18933088,case_HX342279,suspect
arrest_18939481,case_HX354741,suspect
arrest_18939401,case_HX354741,suspect
arrest_18939459,case_HX354741,suspect
arrest_18939413,case_HX354741,suspect
arrest_18939375,case_HX354741,suspect
arrest_18939428,case_HX354741,suspect
arrest_18939390,case_HX354741,suspect
arrest_18939439,case_HX354741,suspect
arrest_18914064,case_HX302515,suspect
arrest_18914072,case_HX302515,suspect
arrest_18914052,case_HX302515,suspect
arrest_18914020,case_HX302515,suspect
arrest_18914078,case_HX302515,suspect
arrest_18908487,case_HX290846,suspect
arrest_18908565,case_HX290846,suspect
arrest_18916551,case_HX307932,suspect
arrest_18916554,case_HX307932,suspect
arrest_18939981,case_HX356077,suspect
arrest_18940026,case_HX356077,suspect
arrest_18948912,case_HX348663,suspect
arrest_18948908,case_HX348663,suspect
arrest_18915173,case_HX304846,suspect
arrest_18915178,case_HX304846,suspect
arrest_18915164,case_HX304846,suspect
arrest_18918980,case_HX312765,suspect
arrest_18918975,case_HX312765,suspect
arrest_18944264,case_HX364792,suspect
arrest_18944232,case_HX364792,suspect
arrest_18925863,case_HX327345,suspect
arrest_18925880,case_HX327345,suspect
arrest_18935782,case_HX347729,suspect
arrest_18935769,case_HX347729,suspect
arrest_18935757,case_HX347729,suspect
arrest_18949054,case_HX347729,suspect
arrest_18906523,case_HX287153,suspect
arrest_18906522,case_HX287153,suspect
arrest_18922725,case_HX320354,suspect
arrest_18922736,case_HX320354,suspect
arrest_18915453,case_HX303795,suspect
arrest_18915450,case_HX303795,suspect
arrest_18919947,case_HX314647,suspect
arrest_18919957,case_HX314647,suspect
arrest_18947657,case_HX371706,suspect
arrest_18947689,case_HX371706,suspect
arrest_18947489,case_HX371469,suspect
arrest_18947465,case_HX371469,suspect
arrest_18930223,case_HX335974,suspect
arrest_18930236,case_HX335974,suspect
arrest_18936011,case_HX348070,suspect
arrest_18935990,case_HX348070,suspect
arrest_18915481,case_HX305341,suspect
arrest_18915484,case_HX305341,suspect
arrest_18921338,case_HX317645,suspect
arrest_18921337,case_HX317645,suspect
arrest_18921336,case_HX317645,suspect
arrest_18912444,case_HX299392,suspect
arrest_18912434,case_HX299392,suspect
arrest_18940595,case_HX357252,suspect
arrest_18940587,case_HX357252,suspect
arrest_18940570,case_HX357252,suspect
arrest_18940603,case_HX357252,suspect
arrest_18927752,case_HX330956,suspect
arrest_18927751,case_HX330956,suspect
arrest_18910305,case_HX294506,suspect
arrest_18910306,case_HX294506,suspect
arrest_18908281,case_HX290420,suspect
arrest_18908297,case_HX290420,suspect
arrest_18947785,case_HX371848,suspect
arrest_18947763,case_HX371848,suspect
arrest_18913846,case_HX302234,suspect
arrest_18913830,case_HX302234,suspect
arrest_18925738,case_HX327093,suspect
arrest_18925787,case_HX327093,suspect
arrest_18925740,case_HX327093,suspect
arrest_30063893,case_JE279881,suspect
arrest_30063884,case_JE279881,suspect
arrest_30063890,case_JE279881,suspect
arrest_18946841,case_HX370118,suspect
arrest_18946826,case_HX370118,suspect
arrest_18946838,case_HX370118,suspect
arrest_18940473,case_HX356945,suspect
arrest_18940481,case_HX356945,suspect
arrest_18941921,case_HX277061,suspect
arrest_18939935,case_HX277061,suspect
arrest_18939948,case_HX348391,suspect
arrest_18939957,case_HX348391,suspect
arrest_30086363,case_JE389745,suspect
arrest_30086362,case_JE389745,suspect
arrest_18932819,case_HX341575,suspect
arrest_18932825,case_HX341575,suspect
arrest_18909428,case_HX292926,suspect
arrest_18909427,case_HX292926,suspect
arrest_18909420,case_HX292926,suspect
arrest_18909426,case_HX292926,suspect
arrest_18943721,case_HX363442,suspect
arrest_18943720,case_HX363442,suspect
arrest_18920580,case_HX316107,suspect
arrest_18920581,case_HX316107,suspect
arrest_18920578,case_HX316107,suspect
arrest_18920583,case_HX316107,suspect
arrest_18919589,case_HX314029,suspect
arrest_18919577,case_HX314029,suspect
arrest_18919597,case_HX314029,suspect
arrest_18930609,case_HX337162,suspect
arrest_18930613,case_HX337162,suspect
arrest_18942745,case_HX361628,suspect
arrest_18942760,case_HX361628,suspect
arrest_18942754,case_HX361628,suspect
arrest_18913448,case_HX298159,suspect
arrest_18913426,case_HX298159,suspect
arrest_18921755,case_HX316306,suspect
arrest_18921780,case_HX316306,suspect
arrest_18945532,case_HX367421,suspect
arrest_18945579,case_HX367421,suspect
arrest_18913403,case_HX301178,suspect
arrest_18913366,case_HX301178,suspect
arrest_18917707,case_HX309172,suspect
arrest_18917660,case_HX309172,suspect
arrest_18905822,case_HX285506,suspect
arrest_18905757,case_HX285506,suspect
arrest_18911384,case_HX296999,suspect
arrest_18911380,case_HX296999,suspect
arrest_18909393,case_HX292886,suspect
arrest_18909379,case_HX292886,suspect
arrest_18913067,case_HX300592,suspect
