person_id,incident_id,role
person_1,crime_1,suspect
person_1,crime_2,victim
person_1,crime_3,victim
person_1,crime_4,suspect
person_2,crime_5,victim
person_2,crime_6,suspect
person_2,crime_7,victim
person_2,crime_8,suspect
person_2,crime_9,suspect
person_2,crime_10,suspect
person_2,crime_11,suspect
person_2,crime_12,suspect
person_2,crime_13,suspect
person_2,crime_14,witness
person_2,crime_15,suspect
person_2,crime_16,suspect
person_2,crime_17,suspect
person_2,crime_18,suspect
person_2,crime_19,victim
person_2,crime_20,suspect
person_2,crime_21,suspect
person_2,crime_22,suspect
person_2,crime_23,victim
person_2,crime_24,suspect
person_2,crime_25,suspect
person_2,crime_26,suspect
person_3,crime_27,suspect
person_4,crime_24,suspect
person_5,crime_19,victim
person_6,crime_28,victim
person_7,crime_29,suspect
person_8,crime_30,suspect
person_9,crime_31,victim
person_10,crime_32,victim
person_10,crime_33,victim
person_10,crime_34,victim suspect
person_10,crime_35,suspect
person_10,crime_36,suspect
person_10,crime_37,suspect
person_10,crime_38,suspect
person_10,crime_39,witness
person_11,crime_31,victim
person_12,crime_40,victim
person_12,crime_41,victim
person_12,crime_42,victim
person_13,crime_42,victim
person_14,crime_42,victim
person_15,crime_43,suspect
person_16,crime_44,witness
person_17,crime_45,suspect
person_17,crime_46,suspect
person_17,crime_47,suspect
person_17,crime_48,suspect
person_17,crime_49,suspect
person_18,crime_50,suspect
person_19,crime_51,suspect
person_20,crime_51,suspect
person_21,crime_52,victim
person_21,crime_53,victim
person_22,crime_54,victim suspect
person_23,crime_55,suspect
person_24,crime_56,suspect
person_25,crime_56,suspect
person_26,crime_57,suspect
person_27,crime_58,victim
person_28,crime_59,victim
person_29,crime_60,suspect
person_30,crime_61,victim
person_31,crime_62,victim
person_32,crime_63,victim
person_33,crime_8,victim
person_33,crime_10,victim
person_34,crime_64,suspect
person_35,crime_63,suspect
person_36,crime_65,suspect
person_37,crime_66,victim
person_37,crime_67,suspect
person_37,crime_65,suspect
person_37,crime_68,suspect
person_37,crime_69,suspect
person_37,crime_70,suspect
person_37,crime_71,suspect
person_37,crime_72,witness
person_38,crime_73,suspect
person_39,crime_22,suspect
person_40,crime_74,victim
person_40,crime_75,witness
person_41,crime_76,victim
person_41,crime_75,witness
person_42,crime_30,suspect
person_43,crime_77,suspect
person_44,crime_78,suspect
person_45,crime_79,victim
person_45,crime_80,suspect
person_46,crime_81,witness
person_46,crime_82,witness
person_47,crime_83,suspect
person_48,crime_84,victim
person_48,crime_24,witness
person_49,crime_85,victim
person_50,crime_86,victim suspect
person_51,crime_87,victim
person_51,crime_88,victim
person_51,crime_89,suspect
person_51,crime_90,suspect
person_51,crime_91,suspect
person_51,crime_92,suspect
person_52,crime_93,victim
person_53,crime_94,suspect
person_54,crime_95,suspect
person_54,crime_96,witness
person_54,crime_97,victim
person_54,crime_94,suspect
person_55,crime_79,suspect
person_56,crime_98,victim
person_56,crime_99,victim suspect
person_56,crime_100,victim
person_56,crime_101,suspect
person_56,crime_102,victim
person_56,crime_103,victim
person_56,crime_34,victim suspect
person_56,crime_104,witness
person_56,crime_105,victim
person_56,crime_106,suspect
person_56,crime_107,victim
person_56,crime_108,victim
person_56,crime_109,suspect
person_56,crime_110,witness
person_57,crime_50,victim
person_57,crime_104,suspect
person_57,crime_108,victim
person_58,crime_50,victim
person_58,crime_108,victim
person_59,crime_110,witness
person_60,crime_111,victim
person_61,crime_112,suspect
person_62,crime_113,suspect
person_62,crime_114,suspect
person_62,crime_115,witness
person_62,crime_116,suspect
person_62,crime_117,suspect
person_62,crime_64,victim
person_63,crime_118,witness
person_64,crime_119,suspect
person_65,crime_120,suspect
person_66,crime_36,suspect
person_67,crime_12,victim
person_67,crime_15,victim
person_67,crime_16,victim
person_67,crime_20,witness
person_68,crime_121,suspect
person_69,crime_35,witness
person_70,crime_35,witness
person_71,crime_73,victim
person_72,crime_122,suspect
person_73,crime_28,victim
person_73,crime_43,suspect
person_74,crime_123,suspect
person_74,crime_122,suspect
person_74,crime_124,suspect
person_74,crime_125,suspect
person_74,crime_90,suspect
person_74,crime_91,suspect
person_74,crime_110,suspect
person_75,crime_126,suspect
person_76,crime_95,suspect
person_77,crime_98,suspect
person_77,crime_127,victim
person_78,crime_128,victim
person_78,crime_129,victim
person_79,crime_130,victim
person_79,crime_131,victim
person_79,crime_132,victim
person_79,crime_133,victim
person_79,crime_134,victim
person_79,crime_135,victim
person_80,crime_78,suspect
person_81,crime_39,witness
person_82,crime_136,suspect
person_82,crime_39,witness
person_82,crime_57,suspect
person_83,crime_137,victim
person_84,crime_138,victim
person_85,crime_139,victim
person_86,crime_140,victim
person_87,crime_141,suspect
person_87,crime_142,suspect
person_87,crime_143,suspect
person_87,crime_144,suspect
person_88,crime_126,suspect
person_88,crime_145,victim
person_88,crime_146,victim suspect
person_88,crime_147,victim
person_88,crime_148,suspect
person_88,crime_149,suspect
person_88,crime_75,suspect
person_88,crime_72,victim
person_89,crime_150,victim
person_89,crime_146,witness
person_89,crime_148,victim
person_90,crime_20,witness
person_91,crime_46,witness
person_92,crime_151,victim suspect
person_93,crime_3,suspect
person_94,crime_152,victim
person_95,crime_95,suspect
person_96,crime_92,witness
person_97,crime_28,victim
person_97,crime_43,suspect
person_98,crime_153,victim
person_99,crime_154,victim
person_100,crime_155,victim
person_101,crime_155,victim
person_101,crime_70,suspect
person_102,crime_156,witness
person_103,crime_157,suspect
person_104,crime_158,victim
person_104,crime_159,victim
person_105,crime_160,victim
person_106,crime_161,suspect
person_106,crime_58,suspect
person_106,crime_157,suspect
person_107,crime_162,victim
person_108,crime_163,victim
person_108,crime_164,victim
person_108,crime_165,victim
person_108,crime_166,victim
person_108,crime_167,victim
person_108,crime_168,victim
person_109,crime_165,suspect
person_110,crime_169,suspect
person_111,crime_169,suspect
person_112,crime_170,victim
person_112,crime_171,suspect
person_112,crime_90,witness
person_112,crime_172,suspect
person_113,crime_80,suspect
person_114,crime_28,victim
person_114,crime_95,suspect
person_115,crime_173,suspect
person_115,crime_174,suspect
person_115,crime_175,suspect
person_115,crime_176,suspect
person_115,crime_177,suspect
person_115,crime_178,suspect
person_115,crime_179,suspect
person_115,crime_180,suspect
person_115,crime_181,suspect
person_116,crime_88,witness
person_117,crime_182,suspect
person_117,crime_183,victim
person_118,crime_184,victim
person_119,crime_184,suspect
person_119,crime_185,suspect
person_120,crime_186,suspect
person_121,crime_65,victim
person_122,crime_187,witness
person_123,crime_188,suspect
person_124,crime_189,victim
person_125,crime_190,suspect
person_126,crime_191,victim
person_127,crime_192,victim suspect
person_128,crime_193,victim
person_128,crime_194,victim
person_128,crime_195,victim
person_128,crime_196,victim
person_128,crime_110,witness
person_128,crime_197,victim
person_129,crime_193,suspect
person_129,crime_198,victim suspect
person_129,crime_199,suspect
person_129,crime_200,suspect
person_129,crime_186,suspect
person_130,crime_36,suspect
person_131,crime_201,victim
person_131,crime_189,suspect
person_131,crime_202,victim
person_131,crime_203,victim
person_132,crime_182,victim
person_133,crime_204,witness
person_134,crime_204,witness
person_135,crime_205,suspect
person_136,crime_206,witness
person_137,crime_207,suspect
person_138,crime_208,witness
person_139,crime_38,victim
person_140,crime_158,victim
person_141,crime_209,suspect
person_142,crime_210,suspect
person_143,crime_130,witness
person_144,crime_211,victim
person_145,crime_62,suspect
person_145,crime_152,suspect
person_146,crime_212,suspect
person_146,crime_213,suspect
person_146,crime_214,suspect
person_146,crime_62,suspect
person_146,crime_152,suspect
person_146,crime_215,suspect
person_146,crime_216,suspect
person_146,crime_217,suspect
person_147,crime_218,suspect
person_148,crime_219,witness
person_149,crime_153,victim
person_150,crime_187,victim
person_151,crime_172,suspect
person_152,crime_220,victim
person_152,crime_189,suspect
person_152,crime_139,victim
person_153,crime_221,witness
person_154,crime_39,witness
person_155,crime_222,victim
person_155,crime_223,victim
person_155,crime_224,victim
person_155,crime_199,victim
person_155,crime_200,witness
person_156,crime_56,victim
person_157,crime_152,suspect
person_158,crime_225,victim
person_159,crime_101,victim
person_159,crime_207,victim
person_159,crime_226,suspect
person_159,crime_227,victim
person_159,crime_228,victim suspect
person_159,crime_229,witness
person_159,crime_230,victim
person_160,crime_207,witness
person_161,crime_147,victim
person_162,crime_231,victim
person_162,crime_39,witness
person_163,crime_86,witness
person_164,crime_232,victim
person_165,crime_111,witness
person_166,crime_116,suspect
person_167,crime_233,victim
person_167,crime_39,witness
person_168,crime_234,suspect
person_169,crime_235,victim
person_170,crime_161,suspect
person_171,crime_102,suspect
person_171,crime_236,suspect
person_172,crime_237,victim
person_173,crime_238,suspect
person_174,crime_222,suspect
person_174,crime_223,suspect
person_174,crime_239,victim
person_174,crime_240,victim
person_175,crime_228,victim suspect
person_176,crime_151,suspect
person_177,crime_56,suspect
person_178,crime_43,suspect
person_179,crime_241,victim suspect
person_180,crime_165,victim
person_181,crime_242,suspect
person_182,crime_215,victim
person_183,crime_243,victim
person_184,crime_232,victim
person_184,crime_72,witness
person_185,crime_43,suspect
person_186,crime_22,suspect
person_187,crime_216,victim
person_188,crime_244,suspect
person_189,crime_245,victim
person_190,crime_246,suspect
person_190,crime_247,victim
person_190,crime_126,victim
person_190,crime_248,victim
person_190,crime_249,victim
person_190,crime_250,victim
person_191,crime_57,suspect
person_192,crime_251,suspect
person_193,crime_252,victim
person_194,crime_253,victim
person_195,crime_60,victim
person_196,crime_60,victim
person_197,crime_254,witness
person_198,crime_212,suspect
person_199,crime_255,victim
person_199,crime_256,victim
person_200,crime_72,witness
person_201,crime_257,suspect
person_202,crime_245,victim
person_202,crime_218,suspect
person_202,crime_140,suspect
person_203,crime_258,victim
person_204,crime_259,suspect
person_205,crime_98,witness
person_206,crime_225,suspect
person_207,crime_260,victim
person_208,crime_155,victim
person_209,crime_261,suspect
person_210,crime_225,witness
person_211,crime_14,witness
person_212,crime_238,suspect
person_213,crime_262,witness
person_214,crime_263,victim
person_214,crime_27,victim
person_214,crime_264,suspect
person_214,crime_265,victim
person_214,crime_266,suspect
person_214,crime_238,suspect
person_214,crime_267,witness
person_215,crime_268,suspect
person_216,crime_264,victim
person_216,crime_268,victim
person_216,crime_267,victim
person_217,crime_269,suspect
person_218,crime_270,suspect
person_219,crime_153,victim
person_219,crime_270,victim
person_219,crime_271,victim suspect
person_220,crime_119,victim
person_220,crime_272,suspect
person_220,crime_273,suspect
person_220,crime_274,suspect
person_220,crime_275,victim
person_220,crime_276,suspect
person_220,crime_277,suspect
person_220,crime_278,suspect
person_220,crime_279,victim
person_220,crime_280,suspect
person_220,crime_281,suspect
person_220,crime_282,suspect
person_220,crime_283,suspect
person_220,crime_284,suspect
person_220,crime_285,suspect
person_220,crime_286,suspect
person_220,crime_287,suspect
person_221,crime_288,victim
person_221,crime_81,victim
person_221,crime_289,victim
person_221,crime_290,victim
person_222,crime_291,suspect
person_223,crime_6,suspect
person_224,crime_39,witness
person_225,crime_32,suspect
person_225,crime_292,victim
person_225,crime_39,witness
person_226,crime_293,victim
person_227,crime_294,suspect
person_228,crime_295,suspect
person_229,crime_296,witness
person_230,crime_225,suspect
person_231,crime_297,witness
person_232,crime_297,witness
person_233,crime_116,victim
person_234,crime_97,victim
person_235,crime_97,victim
person_236,crime_298,victim
person_237,crime_299,victim
person_238,crime_300,suspect
person_239,crime_78,victim
person_240,crime_301,victim
person_241,crime_302,suspect
person_242,crime_303,victim
person_242,crime_138,victim
person_242,crime_304,victim
person_242,crime_305,suspect
person_242,crime_284,witness
person_243,crime_173,victim
person_243,crime_306,victim
person_244,crime_155,victim
person_244,crime_75,suspect
person_245,crime_307,suspect
person_245,crime_308,suspect
person_245,crime_309,suspect
person_246,crime_112,suspect
person_247,crime_310,suspect
person_247,crime_232,victim
person_248,crime_311,victim suspect
person_249,crime_204,victim
person_249,crime_312,victim
person_250,crime_43,suspect
person_251,crime_298,victim
person_252,crime_225,suspect
person_253,crime_313,suspect
person_253,crime_314,suspect
person_254,crime_271,witness
person_255,crime_138,suspect
person_256,crime_161,suspect
person_257,crime_315,suspect
person_258,crime_316,suspect
person_259,crime_317,victim
person_260,crime_152,suspect
person_261,crime_318,victim suspect
person_262,crime_114,suspect
person_263,crime_319,suspect
person_264,crime_263,victim
person_264,crime_282,suspect
person_265,crime_320,suspect
person_266,crime_321,witness
person_267,crime_322,witness
person_267,crime_323,victim
person_268,crime_324,witness
person_269,crime_146,victim suspect
person_269,crime_240,witness
person_270,crime_206,witness
person_271,crime_325,witness
person_272,crime_47,witness
person_273,crime_326,witness
person_274,crime_46,witness
person_275,crime_111,witness
person_276,crime_225,witness
person_277,crime_327,victim
person_277,crime_296,victim
person_277,crime_328,victim
person_277,crime_329,victim
person_277,crime_330,victim
person_277,crime_331,victim
person_277,crime_47,witness
person_278,crime_95,suspect
person_279,crime_166,suspect
person_280,crime_332,suspect
person_281,crime_63,suspect
person_282,crime_33,victim
person_283,crime_333,victim
person_283,crime_251,suspect
person_284,crime_101,witness
person_284,crime_229,victim
person_285,crime_36,suspect
person_286,crime_24,suspect
person_287,crime_24,suspect
person_288,crime_334,victim
person_289,crime_36,suspect
person_290,crime_225,witness
person_291,crime_335,victim
person_291,crime_334,victim
person_291,crime_336,victim
person_291,crime_337,suspect
person_291,crime_77,suspect
person_291,crime_46,witness
person_291,crime_338,suspect
person_292,crime_339,suspect
person_293,crime_340,victim
person_294,crime_248,witness
person_294,crime_257,victim
person_295,crime_175,victim
person_296,crime_341,victim suspect
person_297,crime_341,victim suspect
person_297,crime_107,victim
person_298,crime_341,witness
person_299,crime_30,victim
person_299,crime_77,suspect
person_300,crime_26,suspect
person_301,crime_255,victim
person_302,crime_50,victim
person_303,crime_104,witness
person_303,crime_107,victim
person_303,crime_108,victim
person_304,crime_78,victim
person_304,crime_314,victim
person_304,crime_342,victim
person_304,crime_23,suspect
person_305,crime_313,victim
person_305,crime_14,witness
person_306,crime_43,suspect
person_307,crime_181,witness
person_308,crime_343,suspect
person_309,crime_17,suspect
person_310,crime_344,victim
person_311,crime_161,suspect
